year,head_no,programme_no,programme_name,actual,original,revised,estimate
2008,45,2,Fire Protection and Prevention,217.3,220.3,233.5,258.6
2008,45,3,Ambulance Service,786.8,842.2,840.5,947.9
2008,45,0,total,2957.5,3118.3,3151.7,3427.9
2008,46,1,General Expenses of the Civil Service,3620.8,3690.7,3418.9,3385.2
2008,46,0,total,3620.8,3690.7,3418.9,3385.2
2008,47,1,Use of IT in Government,357.5,391.1,365.1,381.6
2008,47,2,IT Infrastructure and Standards,104.2,114.8,115.2,113.5
2008,47,3,IT in the Community,62.2,58.1,69.8,69.1
2008,47,0,total,523.9,564.0,550.1,564.2
2008,48,1,Statutory Testing,78.6,119.4,114.8,144.8
2008,48,2,Advisory and Investigative Services,53.0,59.7,61.9,66.6
2008,48,3,Forensic Science Services,103.1,107.2,111.7,117.6
2008,48,0,total,234.7,286.3,288.4,329.0
2008,49,1,Food Safety and Public Health,613.5,705.4,692.4,809.6
2008,49,2,Environmental Hygiene and Related Services,1873.0,2102.0,1913.8,2268.2
2008,49,3,Market Management and Hawker Control,1216.7,1249.5,1254.9,1293.7
2008,49,4,Public Education and Community Involvement,18.5,20.1,19.2,19.2
2008,49,0,total,3721.7,4077.0,3880.3,4390.7
2008,51,1,Acquisition and Allocation,686.7,804.1,721.2,775.6
2008,51,2,Property Management,880.2,955.1,901.6,990.6
2008,51,3,Estate Utilisation,35.7,36.3,36.2,39.2
2008,51,0,total,1602.6,1795.5,1659.0,1805.4
2008,53,1,Director of Bureau’s Office,5.8,5.8,6.2,11.3
2008,53,2,Social Harmony and Civic Education,90.2,118.1,92.6,183.0
2008,53,3,"District, Community, and Public Relations",25.4,58.4,75.7,175.3
2008,53,4,"Recreation, Sport and Entertainment Licensing",83.0,100.9,81.2,122.1
2008,53,5,Culture,92.0,53.8,58.6,95.0
2008,53,6,"Subvention: HKSIL, HKAPA, HKADC and Major Performing Arts Groups",433.3,592.1,629.9,699.1
2008,53,7,Subvention: DLS and LASC,88.9,96.6,96.4,99.2
2008,53,0,total,818.6,1025.7,1040.6,1385.0
2013,162,0,total,405.0,444.0,442.5,484.3
2008,55,1,"Broadcasting, Film Services and Creative Industries",27.1,19.4,27.1,28.4
2008,55,2,Telecommunications,93.7,44.2,34.9,35.2
2008,55,0,total,120.8,63.6,62.0,63.6
2008,59,1,Procurement,43.1,47.2,45.1,45.4
2008,59,2,Supplies Management,59.8,64.6,63.0,65.2
2008,59,3,Land Transport,126.6,131.1,129.8,139.8
2008,59,4,Printing Services,155.5,176.7,189.4,198.5
2008,59,0,total,385.0,419.6,427.3,448.9
2008,60,1,Capital Projects,261.7,267.8,270.7,284.7
2008,60,2,District and Maintenance,1016.5,1077.8,1071.1,1106.9
2008,60,3,Railway Development,70.2,70.5,72.3,79.1
2008,60,4,Technical Services,542.4,591.1,585.3,638.5
2008,60,0,total,1890.8,2007.2,1999.4,2109.2
2008,62,1,Building Control,62.9,64.3,68.7,68.8
2008,62,2,Private Housing,11.0,14.9,15.1,17.2
2008,62,3,Appeal Panel (Housing),4.5,9.6,9.3,11.9
2008,62,4,Rehousing of Occupants upon Clearance,14.1,16.7,14.5,16.5
2008,62,5,Support Services,,11.2,11.2,11.2
2008,62,0,total,92.5,116.7,118.8,125.6
2008,63,1,District Administration,497.4,565.0,561.8,618.4
2008,63,2,Community Building,494.1,565.4,532.9,701.1
2008,63,3,Local Environmental Improvements,163.6,174.3,169.2,175.8
2008,63,4,Licensing,32.0,33.5,33.3,34.5
2008,63,5,Territory Planning and Development,16.3,17.1,17.0,17.5
2008,63,0,total,1203.4,1355.3,1314.2,1547.3
2008,70,1,Pre-entry Control,163.1,171.1,192.7,195.2
2008,70,2,Control upon Entry,1089.9,1377.8,1397.5,1491.2
2008,70,3,Control after Entry,417.0,444.3,477.8,484.7
2008,70,4,Personal Documentation,563.1,596.8,542.6,524.3
2008,70,5,Nationality and Assistance to HKSAR Residents outside Hong Kong,18.4,11.2,14.0,14.0
2008,70,0,total,2251.5,2601.2,2624.6,2709.4
2008,72,1,Corruption Prevention,46.2,47.3,51.2,52.3
2008,72,2,Operations,503.1,537.6,527.0,575.3
2008,72,3,Preventive Education,55.4,57.2,60.0,63.6
2008,72,4,Enlisting Support,57.1,59.1,61.9,65.7
2008,72,0,total,661.8,701.2,700.1,756.9
2008,74,1,Public Relations Outside Hong Kong,66.9,76.9,69.2,82.7
2008,74,2,Local Public Relations and Public Information,140.1,152.8,151.6,159.3
2008,74,3,Public Opinion,17.4,18.5,16.7,18.2
2008,74,4,Civic Responsibility,34.2,36.6,39.9,44.1
2008,74,5,Publishing,58.4,63.1,64.0,65.7
2008,74,0,total,317.0,347.9,341.4,370.0
2008,76,1,Assessing Functions,761.0,875.3,897.7,929.8
2008,76,2,Collection,114.6,121.1,121.2,128.0
2008,76,3,Investigation and Field Audit,158.8,163.2,166.8,172.5
2008,76,4,Taxpayer Services,19.1,19.4,20.0,21.4
2008,76,0,total,1053.5,1179.0,1205.7,1251.7
2008,78,1,Statutory Functions,61.4,64.9,63.1,70.9
2008,78,2,Protection of Intellectual Property,18.2,22.1,20.9,21.8
2008,78,0,total,79.6,87.0,84.0,92.7
2008,79,1,Investment Promotion,106.0,107.2,108.1,109.3
2008,79,0,total,106.0,107.2,108.1,109.3
2008,80,1,"Courts, Tribunals and Various Statutory Functions",662.1,770.5,708.5,796.3
2008,80,2,Support Services for Courts’ Operation,216.4,225.1,221.7,248.5
2008,80,0,total,878.5,995.6,930.2,1044.8
2008,82,1,Buildings and Building Works,762.5,775.7,784.1,825.0
2008,82,0,total,762.5,775.7,784.1,825.0
2008,90,1,Labour Relations,104.6,108.2,113.5,119.5
2008,90,2,Employment Services,316.3,355.2,336.2,356.4
2008,90,3,Safety and Health at Work,308.5,314.1,325.0,334.6
2008,90,4,Employee Rights and Benefits,182.3,194.9,284.8,206.3
2008,90,0,total,911.7,972.4,1059.5,1016.8
2008,91,1,Land Administration,1072.4,1197.5,1157.5,1240.5
2008,91,2,Survey and Mapping,367.3,386.7,398.8,403.7
2008,92,3,Legal Policy,55.7,60.7,62.5,64.9
2008,92,4,Law Drafting,69.9,82.3,74.1,83.7
2008,92,5,International Law,31.5,34.9,34.1,41.0
2008,92,0,total,823.1,906.6,870.8,949.2
2008,94,1,Processing of Legal Aid Applications,71.4,73.2,75.0,76.5
2008,94,2,Litigation Services,521.3,611.0,559.9,638.2
2008,94,3,Support Services,27.1,28.6,29.3,29.6
2008,94,4,Official Solicitor’s Office,9.0,9.7,9.4,14.6
2008,94,0,total,628.8,722.5,673.6,758.9
2008,95,1,Recreation and Sports,2301.1,2382.8,2412.9,2391.3
2008,95,2,Horticulture and Amenities,530.5,546.1,548.3,572.3
2008,95,3,Heritage and Museums,484.3,526.5,523.0,570.4
2008,95,4,Performing Arts,927.5,771.2,778.9,788.2
2008,95,5,Public Libraries,671.7,687.6,687.8,732.7
2008,95,0,total,4915.1,4914.2,4950.9,5054.9
2008,96,1,Commercial Relations,104.6,142.0,127.0,146.5
2008,96,2,Public Relations,82.9,109.8,98.1,113.0
2008,96,3,Investment Promotion,39.7,50.3,44.6,51.4
2008,96,0,total,227.2,302.1,269.7,310.9
2008,100,1,Infrastructure,36.6,38.3,39.8,40.5
2008,100,2,Port Services,296.0,319.7,310.5,325.1
2008,100,3,Local Services,88.6,92.8,92.0,96.9
2008,100,4,Services to Ships,57.5,62.6,62.1,66.4
2008,112,2,General and Secretariat Services,156.0,160.3,165.5,177.3
2008,112,3,Legal Service,24.1,23.5,26.0,27.7
2008,112,4,Redress System,14.6,15.0,14.3,14.4
2008,112,5,Research and Library Services,22.4,22.9,23.1,24.1
2008,112,0,total,342.1,351.9,359.0,385.9
2008,114,1,Complaints Administration,81.3,81.6,81.6,85.1
2008,114,0,total,81.3,81.6,81.6,85.1
2008,116,1,Official Receiver’s Office,107.4,132.3,115.1,134.3
2008,116,0,total,107.4,132.3,115.1,134.3
2008,118,1,Territorial Planning,72.7,94.5,93.0,93.2
2008,118,2,District Planning,244.3,254.0,260.0,279.8
2008,118,3,Ordinance Review,2.4,2.3,1.9,2.0
2008,118,4,Town Planning Information Services,12.4,14.0,15.3,15.3
2008,118,5,Technical Services,68.1,71.5,73.7,78.3
2008,118,0,total,399.9,436.3,443.9,468.6
2008,120,1,Public and Judicial Service Pension Benefits,13616.5,15001.0,14881.0,16488.2
2008,120,2,War Memorial Pensions/Volunteer Pensions,37.8,39.4,36.8,36.8
2008,120,0,total,13654.3,15040.4,14917.8,16525.0
2008,121,1,Police Complaints Administration,15.2,13.6,15.4,16.5
2008,121,0,total,15.2,13.6,15.4,16.5
2008,122,1,Maintenance of Law and Order in the Community,5243.4,5507.5,5624.0,5796.2
2008,122,2,Prevention and Detection of Crime,2491.7,2268.2,2359.6,2446.2
2008,122,3,Road Safety,873.2,1129.5,1156.9,1192.5
2008,122,4,Operations,2263.7,2448.0,2313.7,2478.7
2008,122,0,total,10872.0,11353.2,11454.2,11913.6
2008,136,1,Public Service Commission,14.9,15.2,15.6,17.9
2008,136,0,total,14.9,15.2,15.6,17.9
2008,137,1,Director of Bureau’s Office,6.6,6.7,7.5,13.6
2008,137,2,Power,8.6,12.4,9.6,12.2
2008,137,3,Sustainable Development,18.2,25.3,22.0,37.9
2008,137,0,total,33.4,44.4,39.1,63.7
2008,138,1,Director of Bureau’s Office,6.1,6.0,6.2,11.9
2008,138,2,"Buildings, Lands and Planning",75.8,79.4,80.5,84.7
2008,138,0,total,81.9,85.4,86.7,96.6
2008,139,1,Director of Bureau’s Office,5.9,5.9,6.2,11.9
2008,155,3,Promotion of Technological Entrepreneurship,7.6,7.8,6.8,7.7
2008,139,2,"Agriculture, Fisheries and Food Safety",11.9,63.4,19.5,33.7
2008,139,3,Environmental Hygiene,10.4,20.6,18.9,19.8
2008,139,0,total,28.2,89.9,44.6,65.4
2008,140,1,Health,70.6,160.2,162.7,183.8
2008,140,2,Subvention: Hospital Authority,28091.2,28631.6,29677.2,30462.2
2008,140,3,Subvention: Prince Philip Dental Hospital,106.4,107.5,110.9,116.0
2008,140,0,total,28268.2,28899.3,29950.8,30762.0
2008,141,1,Director of Bureau’s Office,,,5.0,12.5
2008,141,2,Social Welfare,66.9,115.6,78.2,115.6
2008,141,3,Women’s Interests,14.6,19.9,18.9,21.5
2008,141,4,Manpower Development,444.7,466.0,475.7,82.5
2008,141,5,Subvention: Skills Centres,70.9,86.5,84.9,90.7
2008,141,6,Subvention: Guardianship Board and Environmental Advisory Service,4.6,5.1,5.1,6.0
2008,141,7,Subvention: Vocational Training Council (Vocational Training),166.3,165.1,165.1,169.9
2008,141,0,total,768.0,858.2,832.9,498.7
2008,142,1,Efficiency Unit,112.0,128.5,124.5,132.8
2008,142,2,Government Records Service,28.0,29.4,30.0,32.2
2008,142,3,CSO-Administration Wing,249.6,272.8,274.6,291.8
2008,142,4,Protocol Division,38.0,41.1,41.5,41.6
2008,142,0,total,427.6,471.8,470.6,498.4
2008,143,1,Director of Bureau’s Office,5.7,5.6,6.1,6.2
2008,143,2,Human Resource Management,181.2,189.6,200.8,187.2
2008,143,3,Translation and Interpretation Services and Use of Official Languages,94.7,101.6,103.1,104.2
2008,143,4,Civil Service Training and Development,91.5,99.9,101.6,100.3
2008,143,0,total,373.1,396.7,411.6,397.9
2008,144,1,Director of Bureau’s Office,5.0,5.0,5.3,10.9
2008,155,4,Planning for Innovation and Technology Development,21.7,23.5,23.4,37.3
2008,155,5,Infrastructural Support,46.6,58.4,64.1,76.3
2008,155,6,Quality Support,49.9,52.4,50.0,54.7
2008,144,2,Constitutional and Mainland Affairs,44.7,48.9,50.2,78.0
2008,144,3,Mainland Offices,105.6,122.4,118.6,120.0
2008,144,4,Rights of the Individual,16.7,21.8,19.9,24.2
2008,144,5,Subvention: Equal Opportunities Commission and Office of the Privacy Commissioner for Personal Data,106.4,106.6,109.8,112.6
2008,144,0,total,278.4,304.7,303.8,345.7
2008,147,1,Director of Bureau’s Office,6.6,6.7,6.9,12.4
2008,147,2,Revenue and Financial Control,119.8,133.8,122.4,131.2
2008,147,3,Service Departments,41.5,44.1,42.8,45.1
2008,147,0,total,167.9,184.6,172.1,188.7
2008,148,1,Financial Services,102.9,123.8,108.9,127.3
2008,148,0,total,102.9,123.8,108.9,127.3
2008,151,1,Director of Bureau’s Office,5.6,5.6,6.3,11.2
2008,151,2,Internal Security,88.5,96.4,98.4,117.6
2008,151,3,Immigration Control,24.0,29.7,27.9,31.7
2008,151,0,total,118.1,131.7,132.6,160.5
2008,152,1,Director of Bureau’s Office,6.9,6.7,7.3,12.2
2008,152,2,Commerce and Industry,124.7,167.2,135.9,157.6
2008,152,3,Subvention: Hong Kong Trade Development Council,341.2,350.0,350.0,360.0
2008,152,4,"Posts, Competition Policy and Consumer Protection",10.1,9.9,17.2,13.0
2008,152,5,Subvention: Consumer Council,62.6,67.5,71.3,72.1
2008,152,6,Travel and Tourism,48.4,52.8,52.5,82.5
2008,152,7,Subvention: Hong Kong Tourism Board,665.0,541.8,540.2,482.5
2008,152,8,Public Safety,0.5,0.3,0.3,0.3
2008,152,0,total,1259.4,1196.2,1174.7,1180.2
2008,155,1,Support for Research and Development,20.8,22.5,22.4,22.4
2008,155,2,Fostering University-Industry Collaboration,6.3,6.7,6.6,6.6
2008,155,7,"Subvention: Hong Kong Productivity Council, Hong Kong Applied Science and Technology Research Institute Company Limited",293.7,292.7,296.6,302.9
2008,155,0,total,446.6,464.0,469.9,507.9
2008,156,1,Director of Bureau’s Office,7.2,7.7,7.9,12.5
2008,156,2,Primary Education,10084.0,10510.0,10602.4,11097.8
2008,156,3,Secondary Education,16181.5,17166.4,17277.4,19093.6
2008,156,4,Special Education,1186.2,1325.3,1300.7,1384.7
2008,156,5,Other Educational Services and Subsidies,1254.4,3048.8,1885.7,2719.7
2008,156,6,Vocational Education,1463.2,1450.9,1516.6,1549.5
2008,156,7,Policy and Support,1837.4,1665.4,2609.6,1782.9
2008,156,0,total,32013.9,35174.5,35200.3,37640.7
2008,158,1,Director of Bureau’s Office,6.3,6.7,6.8,12.5
2008,158,2,Land and Waterborne Transport,77.1,74.6,75.8,72.1
2008,158,3,Air and Sea Communications and Logistics Development,46.5,28.0,35.6,37.1
2008,158,0,total,129.9,109.3,118.2,121.7
2008,159,1,Water Supply,10.5,11.7,10.1,10.6
2008,159,2,Heritage Conservation,2.7,3.0,14.1,33.6
2008,159,3,Intra-Governmental Services,156.4,169.8,158.8,176.9
2008,159,0,total,169.6,184.5,183.0,221.1
2008,160,1,Radio,162.9,186.3,182.1,204.5
2008,160,2,Public Affairs Television,206.5,222.6,206.6,238.3
2008,160,3,School Educational Television Production,35.2,35.0,33.3,35.4
2008,160,4,New Media,10.1,12.2,11.0,12.6
2008,160,0,total,414.7,456.1,433.0,490.8
2008,162,1,Statutory Valuation and Assessments,219.4,228.2,231.9,246.0
2008,162,2,Collection and Billing of Rates and Government Rent,37.8,38.2,38.8,40.8
2008,162,3,Provision of Valuation and Property Information Services,68.7,69.7,71.2,75.0
2008,162,4,Landlord and Tenant Services,21.5,25.3,23.2,24.5
2008,163,1,Electoral Services,135.4,230.1,240.1,352.7
2008,163,0,total,135.4,230.1,240.1,352.7
2008,166,1,Government Flying Service,205.5,235.1,215.1,257.3
2008,166,0,total,205.5,235.1,215.1,257.3
2008,168,1,Weather Services,162.1,163.1,166.7,170.1
2008,168,2,Radiation Monitoring and Assessment,21.6,23.0,23.6,23.1
2008,168,3,Time Standard and Geophysical Services,8.8,9.1,9.4,10.2
2008,168,0,total,192.5,195.2,199.7,203.4
2008,169,1,Compliance with Interception and Surveillance Legislation,4.7,11.1,10.4,11.5
2008,169,0,total,4.7,11.1,10.4,11.5
2008,170,1,Family and Child Welfare,1291.4,1431.6,1399.9,1584.7
2008,170,2,Social Security,23797.4,24904.7,24683.6,24106.3
2008,170,3,Services for Elders,3097.1,3267.4,3318.5,3661.6
2008,170,4,Rehabilitation and Medical Social Services,2595.5,2797.7,2771.0,3141.9
2008,170,5,Services for Offenders,271.9,268.1,277.9,283.6
2008,170,6,Community Development,133.5,132.6,136.7,144.6
2008,170,7,Young People,1266.5,1287.3,1315.0,1501.8
2008,170,0,total,32453.3,34089.4,33902.6,34424.5
2008,173,1,Student Assistance Scheme,3587.5,3758.7,3463.3,3649.2
2008,173,0,total,3587.5,3758.7,3463.3,3649.2
2008,174,1,Secretariat services for the following advisory bodies on civil service and judicial salaries and conditions of service— • Standing Commission on Civil Service Salaries and Conditions of Service • Standing Committee on Disciplined Services Salaries and Conditions of Service • Standing Committee on Directorate Salaries and Conditions of Service • Standing Committee on Judicial,8.6,13.4,14.0,25.8
2008,174,0,total,8.6,13.4,14.0,25.8
2008,180,1,Broadcast Monitoring and Regulation,29.8,29.0,32.0,30.4
2008,180,2,Film Services,24.0,27.1,36.5,77.6
2008,180,3,Film Classification and Control of Obscene and Indecent Articles,27.6,28.8,28.1,28.6
2008,180,4,Entertainment Licensing,10.3,10.5,11.1,11.2
2008,180,0,total,91.7,95.4,107.7,147.8
2008,181,1,Commercial Relations,66.1,80.3,82.4,85.2
2008,181,2,Trade Support and Facilitation,113.7,125.8,117.5,129.0
2008,181,3,Support for Small and Medium Enterprises and Industries,260.9,284.5,230.0,240.2
2008,181,0,total,440.7,490.6,429.9,454.4
2008,186,1,Planning and Development,204.8,203.9,205.7,210.8
2008,186,2,Licensing of Vehicles and Drivers,203.9,221.2,224.6,243.1
2008,186,3,District Traffic and Transport Services,321.9,321.5,327.6,338.9
2008,186,4,Management of Transport Services,97.6,163.2,121.6,260.6
2008,186,5,Transport Services for Persons with Disabilities,34.8,37.3,40.2,55.5
2008,186,0,total,863.0,947.1,919.7,1108.9
2008,188,1,"Central Accounting, Collections and Payments",111.3,112.4,108.0,114.8
2008,188,2,"Payment of Salaries, Pensions and Benefits",100.2,101.5,99.0,101.0
2008,188,3,Accounting and Financial Information Systems,89.4,104.1,86.9,110.0
2008,188,4,Management of Funds,4.2,4.8,4.2,5.3
2008,188,0,total,305.1,322.8,298.1,331.1
2008,190,1,University Grants Committee,12189.3,11170.3,12193.1,11926.4
2008,190,0,total,12189.3,11170.3,12193.1,11926.4
2008,194,1,Water Supply: Planning and Distribution,4576.8,4590.7,4641.0,4639.0
2008,194,2,Water Quality Control,123.1,131.3,132.7,135.3
2008,194,3,Customer Services,367.5,357.1,364.8,364.7
2008,194,0,total,5067.4,5079.1,5138.5,5139.0
2009,21,1,Chief Executive’s Office,59.6,59.7,62.5,65.0
2009,21,2,Executive Council,17.8,19.4,18.9,19.5
2009,21,0,total,77.4,79.1,81.4,84.5
2009,22,1,"Agriculture, Fisheries and Fresh Food Wholesale Markets",290.9,189.5,419.9,240.8
2009,22,2,Nature Conservation and Country Parks,405.1,436.7,435.2,455.8
2009,22,3,"Animal, Plant and Fisheries Regulation and Technical Services",762.1,271.3,267.5,233.5
2009,22,0,total,1458.1,897.5,1122.6,930.1
2009,23,1,Auxiliary Medical Service,59.7,63.6,64.4,70.2
2009,23,0,total,59.7,63.6,64.4,70.2
2009,24,1,Regularity Audit,34.2,34.9,38.5,38.1
2009,24,2,Value for Money Audit,80.3,84.4,82.9,84.3
2009,24,0,total,114.5,119.3,121.4,122.4
2009,25,1,Monitoring and Advisory Services,179.0,190.2,197.7,200.1
2009,25,2,Facilities Upkeep,710.5,730.9,741.4,776.7
2009,25,3,Facilities Development,501.6,511.2,531.0,544.5
2009,25,0,total,1391.1,1432.3,1470.1,1521.3
2009,26,1,Trade Statistics,119.3,148.9,133.8,155.3
2009,26,2,Social Statistics,65.5,60.8,59.9,94.4
2009,26,3,National Accounts and Balance of Payments Statistics,71.3,75.2,74.2,77.5
2009,26,4,General Statistical Services,24.6,24.7,26.4,27.0
2009,26,5,Price/Industry/Service Statistics,110.1,111.8,115.8,130.9
2009,26,6,Labour Statistics,64.5,63.3,62.0,68.3
2009,26,0,total,455.3,484.7,472.1,553.4
2009,27,1,Civil Aid Service,72.3,80.8,82.5,82.1
2009,27,0,total,72.3,80.8,82.5,82.1
2009,28,1,Flight Standards,59.2,71.1,70.3,79.2
2009,28,2,Airport Standards,31.0,33.5,33.2,33.7
2009,28,3,Air Traffic Management,293.7,308.2,305.4,331.6
2009,28,4,Air Traffic Engineering and Standards,196.9,230.3,226.6,232.5
2009,28,5,Air Services,22.9,32.9,32.5,34.3
2009,28,6,Air Passenger Departure Tax Administration,1.5,1.5,1.5,1.5
2009,28,0,total,605.2,677.5,669.5,712.8
2009,30,1,Prison Management,2023.1,2066.1,2103.1,1984.8
2009,30,2,Re-integration,461.8,473.1,521.2,713.8
2009,30,0,total,2484.9,2539.2,2624.3,2698.6
2009,31,1,Control and Enforcement,1370.0,1580.1,1554.0,1757.8
2009,31,2,Anti-narcotics Investigation,128.0,136.0,135.8,138.0
2009,31,3,Intellectual Property Rights and Consumer Protection,221.8,237.1,235.2,239.0
2009,31,4,Revenue Protection and Collection,124.6,134.1,129.5,126.0
2009,31,5,Trade Controls,208.6,220.8,221.7,224.6
2009,31,0,total,2053.0,2308.1,2276.2,2485.4
2009,33,1,Tourism and Recreational Development,36.6,38.5,39.6,40.6
2009,53,4,"Recreation, Sport and Entertainment Licensing",75.8,122.1,90.0,108.0
2009,33,2,Port and Marine Facilities,169.7,174.1,177.2,180.5
2009,33,3,Provision of Land and Infrastructure,264.9,275.4,283.1,295.5
2009,33,4,Slope Safety and Geotechnical Standards,268.0,281.9,290.4,297.7
2009,33,5,Greening and Technical Services,89.0,98.8,101.1,104.3
2009,33,6,"Supervision of Mining, Quarrying and Explosives",43.1,47.6,49.3,50.0
2009,33,7,Management of Construction and Demolition Materials,403.8,486.3,486.6,1116.4
2009,33,8,Advice on Development Proposals,27.2,28.5,29.3,30.0
2009,33,0,total,1302.3,1431.1,1456.6,2115.0
2009,37,1,Statutory Functions,333.9,359.8,359.9,373.8
2009,37,2,Disease Prevention,1244.9,1359.8,1439.6,1944.0
2009,37,3,Health Promotion,200.3,243.8,245.8,259.1
2009,37,4,Curative Care,564.3,587.9,584.6,624.4
2009,37,5,Rehabilitation,75.2,75.9,78.3,82.4
2009,37,6,Treatment of Drug Abusers,118.8,124.6,125.7,130.3
2009,37,7,Medical and Dental Treatment for Civil Servants,528.8,581.7,592.6,699.8
2009,37,8,Personnel Management of Civil Servants Working in Hospital Authority,9.2,10.7,8.5,6.9
2009,37,0,total,3075.4,3344.2,3435.0,4120.7
2009,39,1,Stormwater Drainage,374.0,385.3,397.6,406.7
2009,39,2,Sewage Services,1227.3,1253.3,1278.7,1363.0
2009,39,0,total,1601.3,1638.6,1676.3,1769.7
2009,42,1,"Energy Supply; Electrical, Gas and Nuclear Safety",102.4,102.6,108.0,107.9
2009,42,2,Mechanical Installations Safety,33.5,39.5,41.6,48.4
2009,42,3,"Energy Efficiency and Conservation, and Alternative Energy",109.6,109.0,109.8,245.3
2009,42,4,Centralised Services and Special Support,57.4,58.1,59.7,62.1
2009,42,0,total,302.9,309.2,319.1,463.7
2009,44,1,Waste,1400.0,1425.6,1510.8,1513.2
2009,44,2,Air,444.0,1506.8,613.9,1249.2
2009,44,3,Noise,92.7,96.1,97.6,99.6
2009,44,4,Water,231.2,234.4,240.9,250.3
2009,53,5,Culture,45.8,95.0,78.9,87.8
2009,44,5,Environmental Assessment and Planning,80.2,80.8,82.4,84.1
2009,44,6,Nature Conservation,5.9,5.7,7.1,6.3
2009,44,0,total,2254.0,3349.4,2552.7,3202.7
2009,45,1,Fire Service,2054.7,2221.4,2284.9,2371.0
2009,45,2,Fire Protection and Prevention,233.1,258.6,281.6,305.2
2009,45,3,Ambulance Service,835.6,947.9,983.1,1124.9
2009,45,0,total,3123.4,3427.9,3549.6,3801.1
2009,46,1,General Expenses of the Civil Service,3282.5,3385.2,3018.1,3007.7
2009,46,0,total,3282.5,3385.2,3018.1,3007.7
2009,47,1,Use of IT in Government,436.0,454.1,444.8,477.2
2009,47,2,IT Infrastructure and Standards,66.9,69.7,69.9,73.3
2009,47,3,IT in the Community,38.7,40.4,40.3,105.3
2009,47,0,total,541.6,564.2,555.0,655.8
2009,48,1,Statutory Testing,109.7,144.8,142.8,131.9
2009,48,2,Advisory and Investigative Services,61.1,66.6,68.5,62.0
2009,48,3,Forensic Science Services,107.9,117.6,121.0,125.5
2009,48,0,total,278.7,329.0,332.3,319.4
2009,49,1,Food Safety and Public Health,665.2,809.6,781.2,819.3
2009,49,2,Environmental Hygiene and Related Services,1932.9,2268.2,2353.4,2265.7
2009,49,3,Market Management and Hawker Control,1246.3,1293.7,1488.6,1349.5
2009,49,4,Public Education and Community Involvement,19.1,19.2,19.2,19.4
2009,49,0,total,3863.5,4390.7,4642.4,4453.9
2009,51,1,Acquisition and Allocation,713.0,775.6,754.1,797.3
2009,51,2,Property Management,875.9,990.6,927.5,987.9
2009,51,3,Estate Utilisation,33.8,39.2,37.8,43.0
2009,51,0,total,1622.7,1805.4,1719.4,1828.2
2009,53,1,Director of Bureau’s Office,6.2,11.3,9.2,11.2
2009,53,2,Social Harmony and Civic Education,89.0,183.0,121.3,222.9
2009,53,3,"District, Community, and Public Relations",62.8,175.3,2168.0,64.7
2009,53,6,"Subvention: HKSIL, HKAPA, HKADC and Major Performing Arts Groups",620.5,688.2,716.4,743.7
2009,53,7,Subvention: DLS and LASC,89.5,99.2,101.4,101.7
2009,53,0,total,989.6,1374.1,3285.2,1340.0
2009,55,1,"Broadcasting, Film Services and Creative Industries",34.9,28.4,36.2,38.8
2009,55,2,Telecommunications,29.4,35.2,27.2,27.5
2009,55,0,total,64.3,63.6,63.4,66.3
2009,59,1,Procurement,45.6,45.4,48.6,53.0
2009,59,2,Supplies Management,62.5,65.2,66.3,70.5
2009,59,3,Land Transport,128.9,139.8,138.5,156.6
2009,59,4,Printing Services,185.9,198.5,198.1,206.4
2009,59,0,total,422.9,448.9,451.5,486.5
2009,60,1,Capital Projects,272.0,284.7,290.5,303.7
2009,60,2,District and Maintenance,1081.6,1106.9,1122.2,1174.0
2009,60,3,Railway Development,72.6,79.1,81.6,87.4
2009,60,4,Technical Services,571.1,638.5,637.4,663.1
2009,60,0,total,1997.3,2109.2,2131.7,2228.2
2009,62,1,Building Control,67.5,68.8,72.3,74.9
2009,62,2,Private Housing,14.8,17.2,17.5,17.5
2009,62,3,Appeal Panel (Housing),9.1,11.9,8.9,8.9
2009,62,4,Rehousing of Occupants upon Clearance,14.3,16.5,15.3,17.3
2009,62,5,Support Services,11.0,11.2,11.9,11.9
2009,62,0,total,116.7,125.6,125.9,130.5
2009,63,1,District Administration,527.9,618.4,611.4,618.1
2009,63,2,Community Building,523.3,701.1,702.8,747.7
2009,63,3,Local Environmental Improvements,167.7,175.8,171.2,205.8
2009,63,4,Licensing,33.2,34.5,34.6,35.8
2009,63,5,Territory Planning and Development,16.9,17.5,17.5,18.4
2009,63,0,total,1269.0,1547.3,1537.5,1625.8
2009,70,1,Pre-entry Control,194.3,195.2,207.5,209.9
2009,70,2,Control upon Entry,1330.9,1491.2,1514.8,1581.0
2009,90,4,Employee Rights and Benefits,285.0,206.3,216.5,232.0
2009,90,0,total,1047.0,1016.8,1078.1,1134.2
2009,152,5,Subvention: Consumer Council,64.9,72.1,76.4,77.2
2009,70,3,Control after Entry,496.1,484.7,547.4,576.6
2009,70,4,Personal Documentation,590.3,524.3,537.7,491.7
2009,70,5,Nationality and Assistance to HKSAR Residents outside Hong Kong,15.7,14.0,17.4,17.6
2009,70,0,total,2627.3,2709.4,2824.8,2876.8
2009,72,1,Corruption Prevention,51.3,52.3,54.9,55.5
2009,72,2,Operations,523.6,575.3,566.7,615.0
2009,72,3,Preventive Education,60.0,63.6,64.6,67.7
2009,72,4,Enlisting Support,62.0,65.7,66.7,69.9
