"總目","帳目","分目(編號)","分目","項目(編號)","涵蓋的範圍","核准
承擔額
$'000","截至
31.3.2014止
的累積開支
$'000","2014-15
修訂預算開支
$'000","結餘
$'000"
"45","非經營帳目","603","機器、車輛及設備","8ED","更換1部油壓升降台F46",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8EE","更換1部油壓升降台F47",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8EF","更換1部油壓升降台F48",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8EG","更換1部油壓升降台F49",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8EH","更換1部油壓升降台F50",6278,0,30,6248
"45","非經營帳目","603","機器、車輛及設備","8EJ","購置1部消防安全教育巴士以更換流動宣傳車F2233",9200,0,63,9137
"45","非經營帳目","603","機器、車輛及設備","8EK","更換1部流動指揮車F663",7920,0,2129,5791
"45","非經營帳目","603","機器、車輛及設備","8EL","更換1部拯救車F18",4780,0,0,4780
"45","非經營帳目","603","機器、車輛及設備","8EM","更換1部細搶救車F242",2178,0,0,2178
"45","非經營帳目","603","機器、車輛及設備","8EN","更換1部細搶救車F243",2178,0,0,2178
"45","非經營帳目","603","機器、車輛及設備","8EP","更換1部細搶救車F244",2178,0,0,2178
"45","非經營帳目","603","機器、車輛及設備","8EQ","更換1部流動傷者治療車F581",4607,0,0,4607
"45","非經營帳目","603","機器、車輛及設備","8ER","更換1部泡車F591",4840,0,0,4840
"45","非經營帳目","603","機器、車輛及設備","8ES","更換1部泡車F593",4840,0,0,4840
"45","非經營帳目","603","機器、車輛及設備","8ET","更換1部泡車F594",4840,0,0,4840
"45","非經營帳目","603","機器、車輛及設備","8EU","更換1部泡車F595",4840,0,0,4840
"45","非經營帳目","603","機器、車輛及設備","8EV","更換1部照明車F647",3300,0,0,3300
"45","非經營帳目","603","機器、車輛及設備","8EW","購置1套模擬駕駛系統",3364,0,0,3364
"45","非經營帳目","603","機器、車輛及設備","8EX","更換1部重型泡車R12",15000,0,0,15000
"45","非經營帳目","603","機器、車輛及設備","8EY","更換1部無積升降台R34",13862,0,0,13862
"45","非經營帳目","603","機器、車輛及設備","8EZ","更換1部旋轉台鋼梯車F119",9680,0,0,9680
"45","非經營帳目","603","機器、車輛及設備","8F0","更換1部旋轉台鋼梯車F120",9680,0,0,9680
"45","非經營帳目","603","機器、車輛及設備","8F1","更換1部旋轉台鋼梯車F121",9680,0,0,9680
"45","非經營帳目","603","機器、車輛及設備","8F2","更換1部旋轉台鋼梯車F122",9680,0,0,9680
"45","非經營帳目","603","機器、車輛及設備","8F3","更換1部旋轉台鋼梯車F123",9680,0,0,9680
"47","經營帳目","700","一般非經常開支","877","協助有需要學生上網",220000,81247,22126,116627
"47","經營帳目","700","一般非經常開支","894","中學資訊科技增潤計劃",75000,0,0,75000
"48","非經營帳目","603","機器、車輛及設備","801","購置1套設備用於實驗室能力驗證計劃及研製標準物質",9975,0,8000,1975
"48","非經營帳目","603","機器、車輛及設備","802","購置1套核磁共振波譜儀系統",9975,0,8000,1975
"48","非經營帳目","603","機器、車輛及設備","803","購置1套用於測試嬰兒配方奶、較大嬰兒配方奶及其他嬰幼兒食品中營養成分的儀器",9600,0,9425,175
"48","非經營帳目","603","機器、車輛及設備","816","購置１套可處理食物所含有毒金屬類別分析的儀器",5845,4326,1350,169
"48","非經營帳目","603","機器、車輛及設備","856","更換1組高效液相色譜質譜聯用儀(第2組)",4515,0,0,4515
"48","非經營帳目","603","機器、車輛及設備","857","以1組配置不同檢測器的氣相色譜質譜儀替換1組氣相色譜質譜儀系統",2940,0,0,2940
"48","非經營帳目","603","機器、車輛及設備","858","更換1組氣相色譜串聯質譜儀系統作為分析環境樣本中微量有機污染物",2903,0,0,2903
"48","非經營帳目","603","機器、車輛及設備","864","以1組綜合氣相色譜系統替換1台配備質量選擇檢測器和電子捕獲檢測器的綜合氣相色譜儀",2903,0,0,2903
"48","非經營帳目","603","機器、車輛及設備","865","以1組液相色譜質譜儀系統替換1組多殘留物快速篩選系統",2800,0,0,2800
"48","非經營帳目","603","機器、車輛及設備","866","以1組粉末X射線衍射儀系統替換1組X射線衍射儀系統",2205,0,0,2205
"48","非經營帳目","603","機器、車輛及設備","867","更換1套用於檢驗尿液樣本中常見濫用藥物的色譜質譜聯用儀",2205,0,0,2205
"48","非經營帳目","603","機器、車輛及設備","868","以1組高效液相色譜高分辨率質譜聯用儀更換1組高效液相色譜系統",5500,0,0,5500
"48","非經營帳目","603","機器、車輛及設備","869","更換1組高效液相色譜質譜聯用儀(第1組)",5040,0,0,5040
"48","非經營帳目","603","機器、車輛及設備","880","更換1台綜合高效液相色譜質譜聯用儀",4600,0,4370,230
"48","非經營帳目","603","機器、車輛及設備","881","更換1台液相色譜質譜儀系統",3864,0,3484,380
"48","非經營帳目","603","機器、車輛及設備","895","購置1套用於支援新《食物內除害劑殘餘規例》的分析儀器",6720,0,4358,2362
"48","非經營帳目","603","機器、車輛及設備","898","購置1組配備超高分辨率質譜分析儀的綜合高效液相色譜系統",9975,0,0,9975
"48","非經營帳目","603","機器、車輛及設備","899","配置一系列用於玩具及兒童產品安全測試的儀器",9975,0,0,9975
"49","經營帳目","700","一般非經常開支","818","為固定攤位小販區小販推行的資助計劃",230000,29244,48000,152756
"49","非經營帳目","603","機器、車輛及設備","801","更換吸渠車(AM4371)",2520,0,0,2520
"49","非經營帳目","603","機器、車輛及設備","802","更換吸渠車(AM4374)",2520,0,0,2520
"49","非經營帳目","603","機器、車輛及設備","804","更換吸渠車(AM4377)",2520,0,0,2520
"49","非經營帳目","603","機器、車輛及設備","805","更換吸渠車(AM4379)",2520,0,0,2520
"49","非經營帳目","603","機器、車輛及設備","806","更換吸渠車(AM4380)",2520,0,0,2520
"49","非經營帳目","603","機器、車輛及設備","809","更換食物研究化驗所的1套液相色譜－串聯質譜儀系統",4500,0,0,4500
"49","非經營帳目","603","機器、車輛及設備","810","更換收糞車(AM4034)",2520,0,0,2520
"49","非經營帳目","603","機器、車輛及設備","811","更換收糞車(AM4037)",2520,0,0,2520
"49","非經營帳目","603","機器、車輛及設備","812","更換收糞車(AM4072)",2520,0,0,2520
"49","非經營帳目","603","機器、車輛及設備","813","更換收糞車(AM4073)",2520,0,0,2520
"49","非經營帳目","603","機器、車輛及設備","814","更換收糞車(AM4074)",2520,0,0,2520
"49","非經營帳目","603","機器、車輛及設備","815","更換收糞車(AM4075)",2520,0,0,2520
"49","非經營帳目","603","機器、車輛及設備","819","更換洗街車(AM3106)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","820","更換洗街車(AM4135)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","821","更換洗街車(AM4137)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","822","更換洗街車(AM4138)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","823","更換洗街車(AM4139)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","824","更換洗街車(AM4140)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","825","更換洗街車(AM4141)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","826","更換洗街車(AM4142)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","828","更換洗街車(AM4464)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","829","更換洗街車(AM4465)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","830","更換洗街車(AM4467)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","832","更換洗街車(AM4471)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","833","更換洗街車(AM4476)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","834","更換洗街車(AM5124)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","835","更換洗街車(AM5126)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","836","更換洗街車(AM5128)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","837","更換洗街車(AM5129)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","838","更換洗街車(AM5130)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","839","更換洗街車(AM5131)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","840","更換洗街車(AM5165)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","841","更換洗街車(AM5178)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","842","更換洗街車(AM5181)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","843","更換洗街車(AM5231)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","844","更換洗街車(AM5232)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","845","更換洗街車(AM5233)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","846","更換洗街車(AM5239)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","847","更換洗街車(AM5240)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","848","更換洗街車(AM5241)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","849","更換洗街車(AM5242)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","850","更換洗街車(AM5244)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","851","更換洗街車(AM5246)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","852","更換洗街車(AM5247)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","853","更換洗街車(AM5249)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","854","更換洗街車(AM5250)",2390,0,0,2390
"49","非經營帳目","603","機器、車輛及設備","855","改善紅磡熟食中心1至10號攤檔的1套水劑滌氣系統",2297,0,0,2297
"49","非經營帳目","603","機器、車輛及設備","857","改善紅磡熟食中心11至20號攤檔的1套水劑滌氣系統",2297,0,0,2297
"53","經營帳目","700","一般非經常開支","802","香港藝術發展局在Genesis推行藝術空間計劃",8720,315,6095,2310
"53","經營帳目","700","一般非經常開支","824","多元卓越獎學金",100000,0,0,100000
"53","經營帳目","700","一般非經常開支","897","啟德體育園區的營運顧問研究",40000,0,0,40000
"53","非經營帳目","942","香港演藝學院","803","提升電影電視學院的電影／電視錄影廠及影像製作／後期製作設施",26882,20753,1430,4699
"53","非經營帳目","942","香港演藝學院","819","建設電子校園資訊平台及提升現時的學生／財務／人力資源電腦系統",4600,2277,0,2323
"53","非經營帳目","942","香港演藝學院","820","表演藝術檔案數碼化計劃",5272,993,1939,2340
"53","非經營帳目","942","香港演藝學院","827","提供一套電影製作行業標準級數數碼攝像組合",2100,0,0,2100
"55","經營帳目","700","一般非經常開支","480","電影發展基金",520000,250744,33707,235549
"55","經營帳目","700","一般非經常開支","830","設計創業培育計劃",26250,5598,1694,18958
"55","經營帳目","700","一般非經常開支","866","創意智優計劃",600000,276132,86062,237806
"55","經營帳目","700","一般非經常開支","897","香港設計中心",250000,137813,32187,80000
"59","非經營帳目","603","機器、車輛及設備","898","更換1部雙面柯式印刷機",8785,0,0,8785
"60","經營帳目","700","一般非經常開支","838","《鐵路發展策略2000》檢討及修訂",43000,33903,8097,1000
"63","經營帳目","700","一般非經常開支","801","區議員的開設辦事處開支償還款額及結束辦事處開支償還款額(2012-2015任期)",49000,19585,7000,22415
"63","經營帳目","700","一般非經常開支","806","社區重點項目計劃有關籌備階段的公眾參與活動和非工程部分的相關研究",9000,257,6186,2557
"63","經營帳目","700","一般非經常開支","822","社區重點項目計劃(葵青區)－加強社區健康服務",86800,0,9390,77410
"70","非經營帳目","603","機器、車輛及設備","827","更換入境事務處船隻編號6",9900,0,0,9900
"90","經營帳目","700","一般非經常開支","841","鼓勵就業交通津貼計劃",4805000,680714,395472,3728814
"90","經營帳目","700","一般非經常開支","863","加強及整合就業計劃",398600,196795,1000,200805
"90","經營帳目","700","一般非經常開支","874","為有特別就業困難的青少年而設的就業計劃",33000,20189,4000,8811
"92","經營帳目","700","一般非經常開支","512","僱用翻譯和中文打字服務",5100,3296,150,1654
"92","經營帳目","700","一般非經常開支","513","在內地進行模擬審訊",2400,1764,300,336
"92","經營帳目","700","一般非經常開支","514","推廣法治和香港的法律制度",8600,6621,50,1929
"92","經營帳目","700","一般非經常開支","519","在香港拓展與內地有關的法律服務",4335,1997,300,2038
"95","經營帳目","700","一般非經常開支","835","舉辦李小龍展覽",24850,17780,2880,4190
"95","經營帳目","700","一般非經常開支","836","更新香港科學館常設展覽",76000,0,0,76000
"95","經營帳目","700","一般非經常開支","837","更新香港海防博物館常設展覽及古蹟徑",30800,0,0,30800
"95","經營帳目","700","一般非經常開支","838","更新香港歷史博物館常設展覽",466000,0,0,466000
"95","經營帳目","700","一般非經常開支","839","更新香港文化博物館常設展覽",43500,0,0,43500
"95","非經營帳目","600","工程","029","屏山鄧氏宗祠修葺工程",3100,1782,495,823
"95","非經營帳目","600","工程","049","達德公所修復工程",9800,5469,1200,3131
"95","非經營帳目","600","工程","462","仁敦岡書室修復工程",6980,3546,1200,2234
"95","非經營帳目","600","工程","808","上環荷李活道文武廟修復工程",9955,590,889,8476
"95","非經營帳目","600","工程","813","沙頭角葉定仕故居修復工程",7670,2581,703,4386
"95","非經營帳目","600","工程","814","瑪利諾修院學校(小學部)大型修葺工程",4400,4167,37,196
"95","非經營帳目","600","工程","830","中環聖約翰座堂大型修葺及改善工程",9240,3815,136,5289
"95","非經營帳目","600","工程","834","元朗廈村友恭學校修復工程",6270,3839,400,2031
"95","非經營帳目","600","工程","842","元朗廈村鄧氏宗祠及禮賓樓修復工程",8613,6536,961,1116
"95","非經營帳目","600","工程","843","新界粉嶺龍躍頭松嶺鄧公祠結構維修工程",6435,0,0,6435
"95","非經營帳目","600","工程","879","新界粉嶺龍躍頭老圍結構維修工程",6270,0,1250,5020
"95","非經營帳目","600","工程","883","新界上水廖萬石堂結構維修工程",3570,245,251,3074
"95","非經營帳目","600","工程","887","九龍窩打老道東華三院文物館大型修葺及修復工程",4895,130,528,4237
"95","非經營帳目","600","工程","893","新界沙頭角下禾坑發達堂修復工程",7953,0,190,7763
"95","非經營帳目","600","工程","895","錦田廣瑜鄧公祠大型修葺及修復工程",4400,1840,160,2400
"95","非經營帳目","600","工程","898","中環花園道梅夫人婦女會外部修復及粉飾工程",6200,1401,600,4199
"95","非經營帳目","603","機器、車輛及設備","044","更換香港太空館天象廳的星象儀和座椅",34000,33665,93,242
"95","非經營帳目","603","機器、車輛及設備","844","更換柴灣游泳池濾水機房沙缸設備",3944,0,0,3944
"95","非經營帳目","603","機器、車輛及設備","845","更換流動圖書車AM4260",2668,0,0,2668
"95","非經營帳目","603","機器、車輛及設備","846","更換葵青劇院演藝廳調光系統",2500,0,0,2500
"95","非經營帳目","603","機器、車輛及設備","847","更換荃灣大會堂演奏廳調光系統",2800,0,0,2800
"95","非經營帳目","603","機器、車輛及設備","850","更換葵青劇院演藝廳自動化舞台系統",25000,0,0,25000
"95","非經營帳目","603","機器、車輛及設備","854","更換屯門大會堂演奏廳調光系統",3480,0,0,3480
"95","非經營帳目","603","機器、車輛及設備","856","更換流動圖書車AM5955 ",2380,0,89,2291
"95","非經營帳目","603","機器、車輛及設備","857","更換流動圖書車AM5966",2380,0,89,2291
"95","非經營帳目","603","機器、車輛及設備","858","更換香港體育館屏幕系統",9300,0,0,9300
"95","非經營帳目","603","機器、車輛及設備","878","為油街藝術空間購置3D投影機",3070,0,1015,2055
"95","非經營帳目","603","機器、車輛及設備","889","為灣仔運動場更換終點攝影系統",2162,0,0,2162
"95","非經營帳目","603","機器、車輛及設備","896","更換香港太空館天象廳全球幕系統",9800,0,145,9655
"95","非經營帳目","603","機器、車輛及設備","899","更換香港大球場電子計分顯示屏",7800,0,100,7700
"95","非經營帳目","677","購藏本地藝術家的作品和委約他們創作藝術品","827","購藏本地藝術家的作品和委約他們創作藝術品",50000,3055,8000,38945
"100","經營帳目","700","一般非經常開支","429","航海訓練獎勵計劃",28200,15443,4300,8457
"100","經營帳目","700","一般非經常開支","984","本地載客船隻安裝航行設備資助",4700,0,540,4160
"100","非經營帳目","603","機器、車輛及設備","812","更換4艘巡邏船",46400,0,0,46400
"100","非經營帳目","603","機器、車輛及設備","832","更換海道測量船「水文2號」",43500,0,0,43500
"100","非經營帳目","603","機器、車輛及設備","846","更換政府船塢1台20公噸牽引車「MAD25」",2447,0,0,2447
"100","非經營帳目","603","機器、車輛及設備","865","更換巡邏船「海事113號」",6000,0,0,6000
"100","非經營帳目","603","機器、車輛及設備","866","更換巡邏船「海事116號」",6000,0,0,6000
"100","非經營帳目","603","機器、車輛及設備","893","更換海道測量船「水文1號」",9735,0,0,9735
"106","經營帳目","822","提供款項予亞洲開發基金第九次補充資金活動","837","提供款項予亞洲開發基金第九次補充資金活動",206100,122482,29983,53635
"106","經營帳目","824","提供款項予亞洲開發基金第十次補充資金活動","816","提供款項予亞洲開發基金第十次補充資金活動",260180,24689,28102,207389
"112","經營帳目","700","一般非經常開支","540","將歷史檔案製成縮微膠卷",540,312,118,110
"112","經營帳目","700","一般非經常開支","863","外判立法會會議過程正式紀錄及立法會議事程序手冊的部分翻譯工作",5650,0,2360,3290
"112","非經營帳目","872","立法會議員非經常開支償還款額","848","開設辦事處及資訊科技開支償還款額",17500,9638,2500,5362
"112","非經營帳目","885","立法會行政管理委員會","809","採購檔案盒及物料，以保存立法會檔案館的歷史檔案",360,232,56,72
"112","非經營帳目","885","立法會行政管理委員會","811","採購無線導賞通訊系統，以便在新立法會綜合大樓進行導賞活動",640,589,15,36
"112","非經營帳目","885","立法會行政管理委員會","812","為新立法會綜合大樓設計和安裝教育設施",6000,5770,38,192
"112","非經營帳目","885","立法會行政管理委員會","845","電視製作器材及照明裝置以配合即時手語傳譯服務的擴展",1900,0,0,1900
"112","非經營帳目","885","立法會行政管理委員會","861","在新立法會綜合大樓整合及應用資訊科技的工作",99018,86101,3159,9758
"114","經營帳目","700","一般非經常開支","002","與內地合辦的交流培訓計劃",2225,2050,100,75
"116","經營帳目","700","一般非經常開支","003","把公司清盤個案外判的試驗計劃",10000,8921,0,1079
"118","經營帳目","700","一般非經常開支","966","金鐘廊重建規劃及設計研究－可行性研究",4500,608,1823,2069
"118","經營帳目","700","一般非經常開支","967","洗衣街及旺角東站政府用地重建規劃及設計研究－可行性研究",6330,0,1385,4945
"118","經營帳目","700","一般非經常開支","972","檢討甲級寫字樓、商貿及工業用地的需求",4800,0,3007,1793
"118","經營帳目","700","一般非經常開支","985","就更新香港2030而進行的策略性環境影響評估",9000,0,450,8550
"118","非經營帳目","603","機器、車輛及設備","885","更換流動展覽專用車",3076,0,2000,1076
"122","非經營帳目","603","機器、車輛及設備","487","為海上警視系統更換船隻",345262,260474,6404,78384
"122","非經營帳目","603","機器、車輛及設備","794","更換6艘警輪",285760,267239,0,18521
"122","非經營帳目","603","機器、車輛及設備","815","更換赤門的反走私浮標",4902,3293,650,959
"122","非經營帳目","603","機器、車輛及設備","847","更換香港警察學院演講廳的視聽設施",2110,1500,200,410
"122","非經營帳目","603","機器、車輛及設備","848","更換爆炸品處理課裝設於車上的電子對抗系統",9787,0,9360,427
"122","非經營帳目","603","機器、車輛及設備","858","更換水警總區的24噸起重車",2750,2077,0,673
"122","非經營帳目","603","機器、車輛及設備","859","更換水警小艇分區的快速追截艇PV36",8000,0,0,8000
"122","非經營帳目","603","機器、車輛及設備","860","更換水警小艇分區的快速追截艇PV37",8000,0,0,8000
"122","非經營帳目","603","機器、車輛及設備","861","改善香港警察學院的戰術訓練系統",4862,43,0,4819
"122","非經營帳目","603","機器、車輛及設備","863","為特警隊海事反恐怖活動小艇隊購置硬身橡皮艇RHIB1",7000,5,0,6995
"122","非經營帳目","603","機器、車輛及設備","864","為特警隊海事反恐怖活動小艇隊購置硬身橡皮艇RHIB2",7000,5,0,6995
"122","非經營帳目","603","機器、車輛及設備","865","為特警隊海事反恐怖活動小艇隊購置硬身橡皮艇RHIB3",7000,5,0,6995
"122","非經營帳目","603","機器、車輛及設備","867","為爆炸品處理課更換拆彈機械車WB1",3351,0,0,3351
"122","非經營帳目","603","機器、車輛及設備","868","為爆炸品處理課更換拆彈機械車WB2",3351,0,0,3351
"122","非經營帳目","603","機器、車輛及設備","869","為爆炸品處理課更換拆彈機械車WB3",3352,0,0,3352
"122","非經營帳目","603","機器、車輛及設備","870","為爆炸品處理課更換拆彈機械車WB4",3352,0,0,3352
"122","非經營帳目","603","機器、車輛及設備","871","為特警隊購置特別用途無標誌裝甲車UAV1",4664,0,0,4664
"122","非經營帳目","603","機器、車輛及設備","872","為特警隊購置特別用途無標誌裝甲車UAV2",4664,0,0,4664
"122","非經營帳目","603","機器、車輛及設備","873","為特警隊購置特別用途無標誌裝甲車UAV3",4664,0,0,4664
"122","非經營帳目","603","機器、車輛及設備","874","為水警總區購置水警輪模擬系統",9956,0,0,9956
"122","非經營帳目","603","機器、車輛及設備","875","更換流動指揮車MCU1",6820,0,0,6820
"122","非經營帳目","603","機器、車輛及設備","876","更換流動指揮車MCU2",6820,0,0,6820
"122","非經營帳目","603","機器、車輛及設備","877","為水警總區更換5艘高速追截艇",114000,0,0,114000
"122","非經營帳目","603","機器、車輛及設備","878","為道路安全課更換道路安全巴士",4536,0,0,4536
"122","非經營帳目","603","機器、車輛及設備","884","為偵緝訓練中心購置訓練系統",9584,0,2337,7247
"122","非經營帳目","603","機器、車輛及設備","885","為香港警察學院購置2套警察駕駛模擬系統",9428,0,0,9428
"122","非經營帳目","603","機器、車輛及設備","886","更換落馬洲管制站的車底監察系統",5640,567,1640,3433
"122","非經營帳目","603","機器、車輛及設備","887","更換沙頭角管制站的車底監察系統",2256,0,0,2256
"122","非經營帳目","603","機器、車輛及設備","888","購置寬頻任意波形射頻信號產生系統",4182,0,0,4182
"122","非經營帳目","603","機器、車輛及設備","889","為爆炸品處理課更換拆彈機械車WB5",3989,0,0,3989
"122","非經營帳目","603","機器、車輛及設備","890","為爆炸品處理課更換拆彈機械車WB6",3989,0,0,3989
"122","非經營帳目","603","機器、車輛及設備","891","為爆炸品處理課更換拆彈機械車WB7",3990,0,0,3990
"122","非經營帳目","603","機器、車輛及設備","892","為爆炸品處理課更換拆彈機械車WB8",3990,0,0,3990
"122","非經營帳目","603","機器、車輛及設備","893","為小艇分區更換訓練船隻PV70",4492,0,0,4492
"122","非經營帳目","603","機器、車輛及設備","894","更換水警小艇分區的快速追截艇PV30",8000,0,0,8000
"122","非經營帳目","603","機器、車輛及設備","895","更換水警小艇分區的快速追截艇PV31",8000,0,0,8000
"122","非經營帳目","603","機器、車輛及設備","896","更換水警小艇分區的快速追截艇PV32",8000,0,0,8000
"122","非經營帳目","603","機器、車輛及設備","897","更換水警小艇分區的快速追截艇PV33",8000,0,0,8000
"122","非經營帳目","603","機器、車輛及設備","898","更換水警小艇分區的快速追截艇PV34",8000,0,0,8000
"122","非經營帳目","603","機器、車輛及設備","899","更換水警小艇分區的快速追截艇PV35",8000,0,0,8000
"122","非經營帳目","603","機器、車輛及設備","89A","為水警西分區的后海灣小隊更換小型船隻PV90",2822,0,0,2822
"122","非經營帳目","603","機器、車輛及設備","89B","為水警西分區的后海灣小隊更換小型船隻PV91",2822,0,0,2822
"122","非經營帳目","603","機器、車輛及設備","89C","為水警西分區的后海灣小隊更換小型船隻PV93",2823,0,0,2823
"122","非經營帳目","603","機器、車輛及設備","89D","為水警西分區的后海灣小隊更換小型船隻PV94",2823,0,0,2823
"122","非經營帳目","603","機器、車輛及設備","89E","為水警西分區的后海灣小隊更換小型船隻PV95",2823,0,0,2823
"122","非經營帳目","603","機器、車輛及設備","89F","為水警西分區的后海灣小隊更換小型船隻PV101",3526,0,0,3526
"122","非經營帳目","603","機器、車輛及設備","89G","為水警西分區的后海灣小隊更換小型船隻PV102",3526,0,0,3526
"122","非經營帳目","603","機器、車輛及設備","89H","為水警西分區的后海灣小隊更換小型船隻PV103",3526,0,0,3526
"122","非經營帳目","603","機器、車輛及設備","89J","為水警西分區的后海灣小隊更換小型船隻PV104",3526,0,0,3526
"122","非經營帳目","603","機器、車輛及設備","89K","為水警西分區的后海灣小隊更換小型船隻PV105",3526,0,0,3526
"122","非經營帳目","603","機器、車輛及設備","89L","更換18艘警輪",658410,0,0,658410
"122","非經營帳目","603","機器、車輛及設備","89M","為水警總區購置躉船行動平台",35762,0,0,35762
"122","非經營帳目","603","機器、車輛及設備","89N","為水警西分區的后海灣小隊更換小型船隻PV92",8316,0,0,8316
"122","非經營帳目","603","機器、車輛及設備","89P","為水警西分區的后海灣小隊更換小型船隻PV106",8316,0,0,8316
"122","非經營帳目","603","機器、車輛及設備","89Q","購置人羣管理的特別用途車CMV1",9000,0,0,9000
"122","非經營帳目","603","機器、車輛及設備","89R","購置人羣管理的特別用途車CMV2",9000,0,0,9000
"122","非經營帳目","603","機器、車輛及設備","89S","購置人羣管理的特別用途車CMV3",9000,0,0,9000
"122","非經營帳目","603","機器、車輛及設備","89T","更換警察總部的槍械訓練系統",5181,0,0,5181
"137","經營帳目","700","一般非經常開支","052","可持續發展基金",100000,39694,5000,55306
"138","經營帳目","700","一般非經常開支","865","樓宇更新大行動",3200000,2595427,200000,404573
"138","經營帳目","700","一般非經常開支","878","長者維修自住物業津貼計劃",1000000,430000,100000,470000
"140","經營帳目","700","一般非經常開支","823","醫療衞生研究基金",1415000,169045,70000,1175955
"140","非經營帳目","85C","菲臘牙科醫院","876","診所3A及3B吸管系統氣水分離器更換工程",3300,0,2475,825
"140","非經營帳目","85C","菲臘牙科醫院","891","一至五號升降機機廂更換工程及一至六號升降機加裝防止機廂向上超速裝置",5500,0,1725,3775
"140","非經營帳目","85C","菲臘牙科醫院","892","三號可變風量空氣處理機組及相關設備更換工程",7000,0,1725,5275
"141","經營帳目","700","一般非經常開支","016","社區投資共享基金",300000,11733,28392,259875
"141","經營帳目","700","一般非經常開支","876","兒童發展基金",600000,96319,29133,474548
"142","經營帳目","700","一般非經常開支","033","在部門推行成效管理，以協助達致施政方針",5000,4124,0,876
"142","經營帳目","700","一般非經常開支","035","設計和進行調查，評估公眾對政府服務的滿意程度及需要",3200,2509,330,361
"142","經營帳目","700","一般非經常開支","829","集中式管理福利計劃的顧問研究",8000,0,4980,3020
"144","非經營帳目","85F","平等機會委員會","805","更換車輛",458,0,0,458
"147","經營帳目","700","一般非經常開支","835","向受重建、大型維修或改善工程影響的合資格公屋租戶提供電費補充補貼",9000,6206,400,2394
"147","經營帳目","700","一般非經常開支","881","向合資格的住宅用戶戶口提供電費補貼",22300000,19553821,1763000,983179
"152","經營帳目","700","一般非經常開支","012","專業服務發展資助計劃",100000,97499,1930,571
"152","經營帳目","700","一般非經常開支","483","大型旅遊基建計劃的開展活動",8600,8263,0,337
"152","經營帳目","700","一般非經常開支","818","零售業人力發展的措施",130000,0,9637,120363
"152","經營帳目","700","一般非經常開支","834","盛事基金",150000,34263,19930,95807
"152","經營帳目","700","一般非經常開支","835","香港迪士尼樂園度假區的第二階段發展計劃的顧問研究",27300,0,0,27300
"152","非經營帳目","955","消費者委員會","860","消費者委員會提升及更換電郵和儲存系統及互聯網保安系統 ",5147,0,0,5147
"155","經營帳目","700","一般非經常開支","860","投資研發現金回贈計劃",200000,71414,46000,82586
"155","非經營帳目","603","機器、車輛及設備","843","供標準及校正實驗所的溫度實驗所更換現有的濕度槽",2800,0,1060,1740
"155","非經營帳目","603","機器、車輛及設備","844","供標準及校正實驗所的長度實驗所開設測量三維空間坐標及尺寸的新服務",3000,0,0,3000
"155","非經營帳目","603","機器、車輛及設備","852","供標準及校正實驗所的聲學實驗所設立新的頭和軀幹模擬器校正服務",2300,0,0,2300
